outgoing_site_id,Start_Time_MM_DD_YYYY,Start_Time_HH_MM_SS_s,Weather,Total Calls,Traffic,lat,long,Call Dropped,day,Datetime,drop%
1717,20170101,00:00 to 4:00,Smoke,499,Low,40.710567,-74.007338,16,Sunday,01-01-2017 00:00,3.206412826
1717,20170101,4:00 to 8:00,Shallow Fog,554,Medium,40.710567,-74.007338,44,Sunday,01-01-2017 04:00,7.942238267
1717,20170101,8:00 to 12:00,Shallow Fog,301,Low,40.710567,-74.007338,17,Sunday,01-01-2017 08:00,5.647840532
1717,20170101,12:00 to 16:00,Fog,514,Low,40.710567,-74.007338,16,Sunday,01-01-2017 12:00,3.112840467
1717,20170101,16:00 to 20:00,Fog,262,Low,40.710567,-74.007338,14,Sunday,01-01-2017 16:00,5.34351145
1717,20170101,20:00 to 23:59,Fog,587,Low,40.710567,-74.007338,15,Sunday,01-01-2017 20:00,2.555366269
1717,20170102,00:00 to 4:00,Partly Cloudy,576,High,40.710567,-74.007338,57,Monday,02-01-2017 00:00,9.895833333
1717,20170102,4:00 to 8:00,Shallow Fog,544,Low,40.710567,-74.007338,16,Monday,02-01-2017 04:00,2.941176471
1717,20170102,8:00 to 12:00,Fog,247,Medium,40.710567,-74.007338,46,Monday,02-01-2017 08:00,18.62348178
1717,20170102,12:00 to 16:00,Fog,378,Medium,40.710567,-74.007338,37,Monday,02-01-2017 12:00,9.788359788
1717,20170102,16:00 to 20:00,Fog,327,Low,40.710567,-74.007338,17,Monday,02-01-2017 16:00,5.198776758
1717,20170102,20:00 to 23:59,Fog,642,Low,40.710567,-74.007338,15,Monday,02-01-2017 20:00,2.336448598
1717,20170103,00:00 to 4:00,Shallow Fog,278,Medium,40.710567,-74.007338,50,Tuesday,03-01-2017 00:00,17.98561151
1717,20170103,4:00 to 8:00,Shallow Fog,315,Medium,40.710567,-74.007338,43,Tuesday,03-01-2017 04:00,13.65079365
1717,20170103,8:00 to 12:00,Smoke,422,High,40.710567,-74.007338,60,Tuesday,03-01-2017 08:00,14.21800948
1717,20170103,12:00 to 16:00,Mostly Cloudy,626,Medium,40.710567,-74.007338,44,Tuesday,03-01-2017 12:00,7.028753994
1717,20170103,16:00 to 20:00,Mostly Cloudy,502,High,40.710567,-74.007338,60,Tuesday,03-01-2017 16:00,11.95219124
1717,20170103,20:00 to 23:59,Shallow Fog,320,High,40.710567,-74.007338,63,Tuesday,03-01-2017 20:00,19.6875
1717,20170104,00:00 to 4:00,Smoke,439,Medium,40.710567,-74.007338,38,Wednesday,04-01-2017 00:00,8.656036446
1717,20170104,4:00 to 8:00,Shallow Fog,496,Medium,40.710567,-74.007338,51,Wednesday,04-01-2017 04:00,10.28225806
1717,20170104,8:00 to 12:00,Fog,616,High,40.710567,-74.007338,64,Wednesday,04-01-2017 08:00,10.38961039
1717,20170104,12:00 to 16:00,Shallow Fog,466,Medium,40.710567,-74.007338,34,Wednesday,04-01-2017 12:00,7.296137339
1717,20170105,4:00 to 8:00,Volcanic Ash,509,Medium,40.710567,-74.007338,43,Thursday,05-01-2017 04:00,8.447937132
1717,20170106,16:00 to 20:00,Fog,581,Medium,40.710567,-74.007338,39,Friday,06-01-2017 16:00,6.712564544
1717,20170106,20:00 to 23:59,Fog,389,High,40.710567,-74.007338,59,Friday,06-01-2017 20:00,15.16709512
1717,20170107,00:00 to 4:00,Shallow Fog,396,Medium,40.710567,-74.007338,32,Saturday,07-01-2017 00:00,8.080808081
1717,20170107,4:00 to 8:00,Shallow Fog,532,Medium,40.710567,-74.007338,31,Saturday,07-01-2017 04:00,5.827067669
